epoch,training_time,lr,train_loss,train_val_loss,val_val_loss,train_acc,val_acc
epoch_0_2022-08-29 16:25:34,115.64s,0.00100000,1.3423,0.0000,1.0702,0.0000,0.5835
epoch_1_2022-08-29 16:27:37,114.42s,0.00100000,1.0516,0.0000,0.8702,0.0000,0.6776
epoch_2_2022-08-29 16:29:40,114.91s,0.00100000,0.9045,0.0000,0.8092,0.0000,0.7071
epoch_3_2022-08-29 16:31:44,114.86s,0.00100000,0.8451,0.0000,0.7934,0.0000,0.7047
epoch_4_2022-08-29 16:33:47,115.01s,0.00100000,0.7978,0.0000,0.8359,0.0000,0.7192
epoch_5_2022-08-29 16:35:51,115.20s,0.00100000,0.7515,0.0000,0.7764,0.0000,0.7263
epoch_6_2022-08-29 16:37:54,114.76s,0.00100000,0.7174,0.0000,0.8595,0.0000,0.7066
epoch_7_2022-08-29 16:39:57,114.66s,0.00100000,0.6860,0.0000,0.7562,0.0000,0.7351
epoch_8_2022-08-29 16:42:00,114.61s,0.00100000,0.6421,0.0000,0.7814,0.0000,0.7197
epoch_9_2022-08-29 16:44:04,114.78s,0.00010000,0.6052,0.0000,0.8107,0.0000,0.7291
epoch_10_2022-08-29 16:46:07,115.18s,0.00010000,0.4757,0.0000,0.8807,0.0000,0.7300
epoch_11_2022-08-29 16:48:12,115.61s,0.00010000,0.4359,0.0000,0.9266,0.0000,0.7291
epoch_12_2022-08-29 16:50:15,115.25s,0.00010000,0.4046,0.0000,0.9492,0.0000,0.7300
epoch_13_2022-08-29 16:52:19,115.20s,0.00010000,0.3789,0.0000,1.0216,0.0000,0.7272
epoch_14_2022-08-29 16:54:23,115.25s,0.00010000,0.3621,0.0000,1.0643,0.0000,0.7253
epoch_15_2022-08-29 16:56:27,115.25s,0.00010000,0.3413,0.0000,1.1244,0.0000,0.7263
epoch_16_2022-08-29 16:58:30,115.14s,0.00010000,0.3211,0.0000,1.2046,0.0000,0.7220
epoch_17_2022-08-29 17:00:34,115.04s,0.00010000,0.3019,0.0000,1.2563,0.0000,0.7239
epoch_18_2022-08-29 17:02:38,115.37s,0.00010000,0.2874,0.0000,1.2978,0.0000,0.7192
epoch_19_2022-08-29 17:04:42,115.27s,0.00001000,0.2747,0.0000,1.3774,0.0000,0.7197
epoch_20_2022-08-29 17:06:46,115.20s,0.00001000,0.2482,0.0000,1.4237,0.0000,0.7230
epoch_21_2022-08-29 17:08:50,115.15s,0.00001000,0.2423,0.0000,1.4440,0.0000,0.7253
epoch_22_2022-08-29 17:10:54,115.33s,0.00001000,0.2403,0.0000,1.4627,0.0000,0.7248
epoch_23_2022-08-29 17:12:58,115.38s,0.00001000,0.2330,0.0000,1.4927,0.0000,0.7253
epoch_24_2022-08-29 17:15:03,115.47s,0.00001000,0.2334,0.0000,1.5099,0.0000,0.7248
epoch_25_2022-08-29 17:17:07,115.51s,0.00001000,0.2272,0.0000,1.5342,0.0000,0.7244
epoch_26_2022-08-29 17:19:13,116.07s,0.00001000,0.2298,0.0000,1.5272,0.0000,0.7225
epoch_27_2022-08-29 17:21:18,116.19s,0.00001000,0.2309,0.0000,1.5414,0.0000,0.7230
epoch_28_2022-08-29 17:23:23,115.83s,0.00001000,0.2277,0.0000,1.5699,0.0000,0.7244
epoch_29_2022-08-29 17:25:28,115.76s,0.00000100,0.2264,0.0000,1.5829,0.0000,0.7234
